ASSESSMENT_ID,SCENARIO,TOOLKIT_VERSION,ASSESSMENT_TITLE,ASSESSMENT_DATE
ebf1ad1d4eb0b0d02cc0dee38244400cb22b0901441bf1e3480e3309f6c23a1b,EIF,3.0.0,Internet Protocol Security (IPSec),10/25/2019
ed17d56fad15ec46172efb194a75b55409f7848a3cea67ff057291a1fdd0331a,EIF,3.0.0,File Transfer Protocol (FTP),10/31/2019
897f5d24d23b45565b59f1f1cca2614f0216b32c2f9e4cbf196964a75c302fa4,EIF,3.0.0,eDelivery SMP 1.10,2/28/2020
3ecb5d76cbd630f92497c6b7d5778c3c44bb75753a21f80d7f1148003e0079c3,EIF,3.0.0,WS-Security (Web Services Security),12/31/2019
e974cb8a32013d044d672e309221057207cc44a034b35798d949ec683a56ca44,EIF,3.0.0,Electronic Signatures and Infrastructures (ESI),1/31/2019
1dc51647f40da8d73fb323c884d5158e973eba9dab60ec33b1baad729e200d9f,EIF,3.1.0,Scalable Vector Graphics (SVG) v1.1 (Second Edition),2020-07-31
a6e690dacfa8fa7b7daa400c9014c67f2546cc10573435dcdf45a52174c56e52,EIF,3.0.0,XAdES Baseline Profile,1/31/2020
d6edf212eb910a6f6eeb6e2dc92d70808b8b3cf50e592d3123fbafdadba094cf,EIF,3.1.0,Open Document Format for Office Applications (ODF) v1.2,2020-07-31
0d7447abf3a2b12870d7896e5d615cef016ae9b22e8b84355ce7497bed3c5c79,EIF,3.1.0,Simple Mail Transfer Protocol (SMTP),2020-07-31
d4496e960ce9e5937f4dc69bbe8311a9f7d88de84aa5b44db6a1d2f643374de7,EIF,3.1.0,Extensible HyperText Markup Language (XHTML) v1.0,2020-08-31
bb289f35acb2c7a95b9748b23050a32faa6de6ae8a4ab15a8550ac37827d8916,EIF,3.0.0,JavaScript Object Notation (JSON),CAMSS@everis.com
