,ass_id,criterion_id,statement_id,statement,score_id,score_value
0,e8d1a4036c852ec6d3afbf81480a9023,c42a5a8ff73196201aac3c90c0f9c95f,2f9da812-d132-4a12-a787-4bc1a0c47737,"CSS v2.1 is included in 3 national catalogues of recommended specifications. They belong to the Netherlands, Spain and Sweden.
The National Interoperability Framework (NIF) of these Member States is fully aligned with at least 4 out of 5 sections of the European Interoperability Framework (EIF) according to the National Interoperability Framework Observatory (NIFO) factsheets. 

National catalogue the Netherlands: 
https://www.forumstandaardisatie.nl/open-standaarden

National catalogue Spain:
https://administracionelectronica.gob.es/pae_Home/pae_Estrategias/pae_Interoperabilidad_Inicio/pae_Normas_tecnicas_de_interoperabilidad.html#CATALOGOESTANDARES

National catalogue Sweden:
https://www.avropa.se/globalassets/dokument/open-it-standards.pdf?_t_id=1B2M2Y8AsgTpgAmY7PhCfg%3d%3d&_t_q=standards&_t_tags=language%3asv%2csiteid%3a95d515a5-23ca-47bf-87a9-07b10d8ac360&_t_ip=178.139.72.144&_t_hit.id=Avropa_Core_Models_Media_GenericMedia/_ff07d720-f793-44b0-994d-27e79b28f6bd&_t_hit.pos=7

NIFO factsheets:
https://joinup.ec.europa.eu/collection/national-interoperability-framework-observatory-nifo/nifo-factsheets",892787bd-ca6b-4a3a-b38b-187229e23504,1
1,e8d1a4036c852ec6d3afbf81480a9023,018d36156569392f2aafea23f64a76c2,f80ba57a-2861-41cf-8186-a6a9281c5a7c,"CSS is a simple mechanism for adding style (fonts, colours, spacing...) to web documents, but by itself, it does not publish data on the web. Also, it does not comply with the other levels of maturity presented by Tim Berners-Lee's 5 stars for open data.

CSS v2.1 W3C reference:
https://www.w3.org/TR/2011/REC-CSS2-20110607/

Five star open data:
https://5stardata.info/en/",9c1d9587-38cc-4c63-9c77-1e8a4dd55fb9,0
2,e8d1a4036c852ec6d3afbf81480a9023,6e66052782871e8f735e877ab531746b,2ea87513-72ce-48e3-bc3c-5c2f92000a16,"W3C has a defined and publicly available Process for the Development and approval process of the specification as a recommended standard. Also, a clear Release Notes tracking the changes of the different versions is archived.

W3C Process document:
https://www.w3.org/2018/Process-20180201/#Policies",ee753c65-ed6c-4231-887f-93cba65daa0f,1
3,e8d1a4036c852ec6d3afbf81480a9023,86480aeb679a28b84c21e76373281a89,2cf06a8d-8088-498d-96df-677d24dc596d,"W3C has a defined and publicly available Process for the Development and approval process of the specification as a recommended standard, including a public review.

W3C Process document:
https://www.w3.org/2018/Process-20180201/#Policies ",810c034d-dfbc-41cd-82fa-f561cac520d9,1
4,e8d1a4036c852ec6d3afbf81480a9023,4e9a30bee7bc426848739d2f6306a3f4,a0316bf2-f3af-4f17-98da-f831471bd2b9,"CSS is publicly available for implementation and study for free on W3C's webpage. 

CSS v2.1 W3C reference:
https://www.w3.org/TR/2011/REC-CSS2-20110607/",08e3ec93-77b0-446c-a4e6-74a8ec544fb3,1
5,e8d1a4036c852ec6d3afbf81480a9023,d9708f7ddb370ef2f423f5ef40e0212f,d13d228d-ce5e-4664-8bab-71d6a4a3da4d,"The W3C Royalty-Free IPR licences granted under the W3C Patent Policy apply to all W3C specifications, including CSS v2.1.

W3C Patent practice:
https://www.w3.org/TR/patent-practice#ref-AC",c87e59ce-25fb-4390-9f1d-e03f2d66cc21,1
6,e8d1a4036c852ec6d3afbf81480a9023,1408eabc0d6cf718b6797e574778544c,9a92cdad-3adb-42f6-985d-0207e63e3f76,"The W3C Royalty-Free IPR licences granted under the W3C Patent Policy apply to all W3C specifications, including CSS v2.1.

W3C Patent practice:
https://www.w3.org/TR/patent-practice#ref-AC ",9e954a9f-0efb-4921-8db3-5be3cfa2d87d,1
7,e8d1a4036c852ec6d3afbf81480a9023,75ae91ad6e35df68c0fdf68310f95632,a3f35b27-b832-4e78-a234-b845e21162fa,"CSS is a style sheet language used for describing the presentation of a document written in a markup language like HTML. CSS is a cornerstone technology of the World Wide Web. CCS v2.1 went to proposed recommendation on 12 April 2011. After being reviewed by the W3C Advisory Committee, it was finally published as a W3C Recommendation on 7 June 2011 and it has been used for the development of many webs. Therefore, the maturity of the specifications is widely demonstrated.

CSS v2.1 W3C reference:
https://www.w3.org/TR/2011/REC-CSS2-20110607/",8bed5f42-31e7-498c-b151-16113764e7bc,1
8,e8d1a4036c852ec6d3afbf81480a9023,077c966676cefd77a045324b17f73f2b,65d2eaeb-5ac1-4991-8c7e-a2ba3b3ecc8c,"CSS v2.1 has had market acceptance for unified web design for years used with HTML which is widely accepted, but with the release of the CSS3 version that uses CSS v2.1 specification as its core, its use has been reduced. CSS3 has implemented some modules and functionalities of the CSS v2.1 specification. Moreover, some modules of CSS3 have been accepted as standard by W3C, for example: CSS Colour Module Level 3 (W3C Recommendation 06 November 2018). 

CSS v2.1 W3C reference: 
https://www.w3.org/TR/2011/REC-CSS2-20110607/ 

CSS Color Module Level 3 W3C reference: 
https://www.w3.org/TR/2018/REC-css-color-3-20180619/",caed83d2-5034-400f-80e1-01549260f674,0
9,e8d1a4036c852ec6d3afbf81480a9023,bff365d744436a47cb68583789942a3c,15b6f942-3270-45bd-8000-9d8ce6b9abca,"CSS v2.1 has been used to develop innovative solutions in the past, but with the new version CSS3, all web solutions that want to be developed with CSS use the latest version because it is more efficient and has more features.

CSS v2.1 W3C reference:
https://www.w3.org/TR/2011/REC-CSS2-20110607/

CSS Color Module Level 3 W3C reference:
https://www.w3.org/TR/2018/REC-css-color-3-20180619/",c1636690-8e8e-4d4a-aec8-e4f63f492107,0
